# BEGIN PLOT
Legend=1
LogY=1
Title=Distributions of the longitudinal momentum fraction of the hadron with respect to the jet.
XLabel=${z}$
YLabel=$\frac{1}{N_{\textrm{Z+jet}}} \frac{\textrm{d} N}{\textrm{d}z}$
YLabelSep=5.5
ErrorBars=1
NormalizeToIntegral=1
LogX=1
CustomLegend=${30} < p_{{\textrm{{T,jet}}}} < {50}$ GeV
DrawOnly=/LHCB_2019_I1730448/d01-x01-y02 //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y02
LegendOnly=/LHCB_2019_I1730448/d01-x01-y02 //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y02
RatioPlot=1
RatioPlotReference=/LHCB_2019_I1730448/d01-x01-y02
# END PLOT

# BEGIN HISTO1D /LHCB_2019_I1730448/d01-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/LHCB_2019_I1730448/d01-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-03	6.000000e-03	2.450000e+00	2.950000e-01	2.950000e-01
6.000000e-03	8.000000e-03	1.340000e+01	6.890000e-01	6.890000e-01
8.000000e-03	1.000000e-02	3.420000e+01	1.100000e+00	1.100000e+00
1.000000e-02	1.500000e-02	6.770000e+01	9.810000e-01	9.810000e-01
1.500000e-02	2.000000e-02	8.510000e+01	1.100000e+00	1.100000e+00
2.000000e-02	3.000000e-02	8.220000e+01	7.640000e-01	7.640000e-01
3.000000e-02	4.000000e-02	6.500000e+01	6.800000e-01	6.800000e-01
4.000000e-02	5.000000e-02	5.320000e+01	6.150000e-01	6.150000e-01
5.000000e-02	6.000000e-02	4.300000e+01	5.530000e-01	5.530000e-01
6.000000e-02	8.000000e-02	3.290000e+01	3.420000e-01	3.420000e-01
8.000000e-02	1.000000e-01	2.400000e+01	2.920000e-01	2.920000e-01
1.000000e-01	1.250000e-01	1.660000e+01	2.170000e-01	2.170000e-01
1.250000e-01	1.500000e-01	1.180000e+01	1.830000e-01	1.830000e-01
1.500000e-01	2.000000e-01	7.810000e+00	1.050000e-01	1.050000e-01
2.000000e-01	3.000000e-01	3.770000e+00	5.180000e-02	5.180000e-02
3.000000e-01	4.000000e-01	1.610000e+00	3.380000e-02	3.380000e-02
4.000000e-01	5.000000e-01	7.180000e-01	2.260000e-02	2.260000e-02
5.000000e-01	7.500000e-01	2.430000e-01	8.320000e-03	8.320000e-03
# END HISTO1D


# BEGIN HISTO1D //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y02
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y02
ScaledBy=2.40789790512882247e-04
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-03	6.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-03	8.000000e-03	2.528293e+00	5.517187e-01	5.517187e-01
8.000000e-03	1.000000e-02	5.778955e+00	8.341203e-01	8.341203e-01
1.000000e-02	1.500000e-02	1.146159e+01	7.429447e-01	7.429447e-01
1.500000e-02	2.000000e-02	1.353239e+01	8.072744e-01	8.072744e-01
2.000000e-02	3.000000e-02	1.411028e+01	5.828904e-01	5.828904e-01
3.000000e-02	4.000000e-02	1.098001e+01	5.141863e-01	5.141863e-01
4.000000e-02	5.000000e-02	9.366723e+00	4.749117e-01	4.749117e-01
5.000000e-02	6.000000e-02	7.175536e+00	4.156677e-01	4.156677e-01
6.000000e-02	8.000000e-02	5.670600e+00	2.612874e-01	2.612874e-01
8.000000e-02	1.000000e-01	3.864676e+00	2.157052e-01	2.157052e-01
1.000000e-01	1.250000e-01	2.639056e+00	1.594312e-01	1.594312e-01
1.250000e-01	1.500000e-01	1.714423e+00	1.285015e-01	1.285015e-01
1.500000e-01	2.000000e-01	1.107633e+00	7.303517e-02	7.303517e-02
2.000000e-01	3.000000e-01	4.936191e-01	3.447585e-02	3.447585e-02
3.000000e-01	4.000000e-01	2.143029e-01	2.271606e-02	2.271606e-02
4.000000e-01	5.000000e-01	8.427643e-02	1.424532e-02	1.424532e-02
5.000000e-01	7.500000e-01	2.889478e-02	5.275440e-03	5.275440e-03
# END HISTO1D

