# BEGIN PLOT
Legend=1
LogY=1
Title=Distributions of the transverse momentum of charged hadrons with respect to the jet axis.
XLabel=${jt}$
YLabel=$\frac{1}{N_{\textrm{Z+jet}}} \frac{\textrm{d} N}{\textrm{d}j_{\textrm{T}}}[\textrm{$GeV^{-1}$}]$
YLabelSep=5.5
ErrorBars=1
NormalizeToIntegral=1
LogX=0
XMin=0
XMax=3
CustomLegend=${50} < p_{{\textrm{{T,jet}}}} < {100}$ GeV
DrawOnly=/LHCB_2019_I1730448/d02-x01-y03 //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d02-x01-y03
LegendOnly=/LHCB_2019_I1730448/d02-x01-y03 //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d02-x01-y03
RatioPlot=1
RatioPlotReference=/LHCB_2019_I1730448/d02-x01-y03
# END PLOT

# BEGIN HISTO1D /LHCB_2019_I1730448/d02-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/LHCB_2019_I1730448/d02-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-03	5.000000e-02	3.020000e+00	1.090000e-01	1.090000e-01
5.000000e-02	1.000000e-01	7.560000e+00	1.640000e-01	1.640000e-01
1.000000e-01	1.500000e-01	1.130000e+01	2.010000e-01	2.010000e-01
1.500000e-01	2.000000e-01	1.350000e+01	2.190000e-01	2.190000e-01
2.000000e-01	2.500000e-01	1.390000e+01	2.230000e-01	2.230000e-01
2.500000e-01	3.000000e-01	1.280000e+01	2.140000e-01	2.140000e-01
3.000000e-01	4.000000e-01	1.130000e+01	1.420000e-01	1.420000e-01
4.000000e-01	5.000000e-01	8.440000e+00	1.220000e-01	1.220000e-01
5.000000e-01	6.250000e-01	5.930000e+00	9.180000e-02	9.180000e-02
6.250000e-01	7.500000e-01	3.990000e+00	7.530000e-02	7.530000e-02
7.500000e-01	1.000000e+00	2.180000e+00	3.940000e-02	3.940000e-02
1.000000e+00	1.250000e+00	1.080000e+00	2.770000e-02	2.770000e-02
1.250000e+00	1.500000e+00	5.570000e-01	1.990000e-02	1.990000e-02
1.500000e+00	2.000000e+00	2.480000e-01	9.400000e-03	9.400000e-03
2.000000e+00	3.000000e+00	6.540000e-02	3.410000e-03	3.410000e-03
# END HISTO1D


# BEGIN HISTO1D //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d02-x01-y03
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d02-x01-y03
ScaledBy=2.70270270270270285e-03
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-03	5.000000e-02	1.201201e+00	2.685967e-01	2.685967e-01
5.000000e-02	1.000000e-01	1.729730e+00	3.057759e-01	3.057759e-01
1.000000e-01	1.500000e-01	1.783784e+00	3.105169e-01	3.105169e-01
1.500000e-01	2.000000e-01	1.891892e+00	3.197881e-01	3.197881e-01
2.000000e-01	2.500000e-01	1.621622e+00	2.960663e-01	2.960663e-01
2.500000e-01	3.000000e-01	2.270270e+00	3.503103e-01	3.503103e-01
3.000000e-01	4.000000e-01	1.162162e+00	1.772281e-01	1.772281e-01
4.000000e-01	5.000000e-01	8.918919e-01	1.552585e-01	1.552585e-01
5.000000e-01	6.250000e-01	6.054054e-01	1.144109e-01	1.144109e-01
6.250000e-01	7.500000e-01	6.702702e-01	1.203841e-01	1.203841e-01
7.500000e-01	1.000000e+00	2.486486e-01	5.184682e-02	5.184682e-02
1.000000e+00	1.250000e+00	6.486488e-02	2.648097e-02	2.648097e-02
1.250000e+00	1.500000e+00	5.405404e-02	2.417371e-02	2.417371e-02
1.500000e+00	2.000000e+00	3.243244e-02	1.324048e-02	1.324048e-02
2.000000e+00	3.000000e+00	8.108108e-03	4.681219e-03	4.681219e-03
# END HISTO1D

